Categoría: Todas las categorías

Semana,Samsung Electronics: (Todo el mundo),Apple: (Todo el mundo)
2021-07-11,19,29
2021-07-18,18,27
2021-07-25,16,27
2021-08-01,11,26
2021-08-08,12,25
2021-08-15,11,27
2021-08-22,11,26
2021-08-29,10,28
2021-09-05,10,30
2021-09-12,10,48
2021-09-19,9,36
2021-09-26,9,34
2021-10-03,33,37
2021-10-10,12,37
2021-10-17,9,39
2021-10-24,17,40
2021-10-31,39,35
2021-11-07,38,34
2021-11-14,26,38
2021-11-21,10,42
2021-11-28,9,41
2021-12-05,10,36
2021-12-12,9,37
2021-12-19,9,40
2021-12-26,10,40
2022-01-02,10,38
2022-01-09,10,35
2022-01-16,9,33
2022-01-23,28,41
2022-01-30,9,37
2022-02-06,12,36
2022-02-13,10,36
2022-02-20,9,32
2022-02-27,17,34
2022-03-06,10,36
2022-03-13,13,34
2022-03-20,10,31
2022-03-27,18,31
2022-04-03,41,35
2022-04-10,37,36
2022-04-17,21,35
2022-04-24,17,35
2022-05-01,22,35
2022-05-08,27,35
2022-05-15,17,32
2022-05-22,22,34
2022-05-29,19,31
2022-06-05,29,37
2022-06-12,31,33
2022-06-19,31,34
2022-06-26,31,33
2022-07-03,27,31
2022-07-10,26,36
2022-07-17,26,35
2022-07-24,27,36
2022-07-31,27,36
2022-08-07,33,36
2022-08-14,37,38
2022-08-21,28,36
2022-08-28,41,34
2022-09-04,43,56
2022-09-11,44,45
2022-09-18,38,43
2022-09-25,38,39
2022-10-02,26,38
2022-10-09,26,40
2022-10-16,27,37
2022-10-23,33,38
2022-10-30,33,37
2022-11-06,33,35
2022-11-13,36,36
2022-11-20,35,38
2022-11-27,28,39
2022-12-04,26,35
2022-12-11,29,37
2022-12-18,29,35
2022-12-25,33,44
2023-01-01,30,38
2023-01-08,28,35
2023-01-15,25,35
2023-01-22,25,35
2023-01-29,30,34
2023-02-05,38,33
2023-02-12,34,33
2023-02-19,36,33
2023-02-26,34,32
2023-03-05,16,29
2023-03-12,7,28
2023-03-19,7,28
2023-03-26,7,28
2023-04-02,6,30
2023-04-09,5,27
2023-04-16,6,30
2023-04-23,5,28
2023-04-30,5,29
2023-05-07,5,27
2023-05-14,7,28
2023-05-21,6,27
2023-05-28,5,30
2023-06-04,4,39
2023-06-11,4,29
2023-06-18,4,29
2023-06-25,4,31
2023-07-02,51,41
2023-07-09,69,47
2023-07-16,63,45
2023-07-23,67,44
2023-07-30,69,45
2023-08-06,69,45
2023-08-13,63,44
2023-08-20,62,42
2023-08-27,62,44
2023-09-03,61,44
2023-09-10,62,71
2023-09-17,57,56
2023-09-24,61,55
2023-10-01,63,48
2023-10-08,63,47
2023-10-15,61,44
2023-10-22,57,44
2023-10-29,60,46
2023-11-05,64,46
2023-11-12,67,47
2023-11-19,75,56
2023-11-26,70,53
2023-12-03,63,46
2023-12-10,66,47
2023-12-17,65,48
2023-12-24,73,55
2023-12-31,67,49
2024-01-07,63,46
2024-01-14,72,44
2024-01-21,68,45
2024-01-28,63,49
2024-02-04,60,56
2024-02-11,58,48
2024-02-18,58,46
2024-02-25,58,46
2024-03-03,58,47
2024-03-10,59,45
2024-03-17,58,44
2024-03-24,59,45
2024-03-31,57,42
2024-04-07,53,43
2024-04-14,54,42
2024-04-21,54,42
2024-04-28,56,46
2024-05-05,57,49
2024-05-12,58,43
2024-05-19,55,43
2024-05-26,56,42
2024-06-02,55,44
2024-06-09,54,52
2024-06-16,55,45
2024-06-23,55,45
2024-06-30,58,42
2024-07-07,63,43
2024-07-14,67,49
2024-07-21,65,49
2024-07-28,63,46
2024-08-04,59,48
2024-08-11,62,46
2024-08-18,64,46
2024-08-25,60,47
2024-09-01,57,49
2024-09-08,59,75
2024-09-15,58,62
2024-09-22,60,58
2024-09-29,61,52
2024-10-06,59,52
2024-10-13,60,48
2024-10-20,58,48
2024-10-27,58,53
2024-11-03,58,48
2024-11-10,61,50
2024-11-17,63,57
2024-11-24,67,62
2024-12-01,64,58
2024-12-08,59,54
2024-12-15,58,55
2024-12-22,64,62
2024-12-29,63,57
2025-01-05,60,55
2025-01-12,57,53
2025-01-19,61,49
2025-01-26,57,48
2025-02-02,62,49
2025-02-09,57,49
2025-02-16,56,51
2025-02-23,53,50
2025-03-02,51,49
2025-03-09,51,49
2025-03-16,55,48
2025-03-23,54,48
2025-03-30,56,51
2025-04-06,55,51
2025-04-13,51,44
2025-04-20,54,44
2025-04-27,54,45
2025-05-04,53,46
2025-05-11,57,46
2025-05-18,53,45
2025-05-25,56,45
2025-06-01,57,46
2025-06-08,55,53
2025-06-15,56,49
2025-06-22,58,46
2025-06-29,57,46
2025-07-06,63,51
2025-07-13,63,48
2025-07-20,63,51
2025-07-27,70,53
2025-08-03,69,58
2025-08-10,68,64
2025-08-17,69,64
2025-08-24,66,62
2025-08-31,72,64
2025-09-07,68,100
